# 0.000000
Nick	TARGET/0.695440
two	TARGET/0.484087
robots	POSITIVITY/0.302447
in	TARGET/0.149118
the	SPATIALRELATION/0.442672
hallway	GROUNDING/0.612771
.	-/0.911578
i	TARGET/0.410875
see	POSITIVITY/0.301435
all	TARGET/0.284745
three	SPATIALRELATION/0.561347
robots	GROUNDING/0.745291
.	-/0.935562
Near	TARGET/0.538687
the	SPATIALRELATION/0.647763
study	GROUNDING/0.808446
.	-/0.958387
someone	TARGET/0.778441
just	POSITIVITY/0.265789
passed	TARGET/0.181156
to	POSITIVITY/0.157751
the	SPATIALRELATION/0.540460
hallway	GROUNDING/0.736691
.	-/0.929711
A	-/0.501328
red	-/0.663474
robot	TARGET/0.930250
is	POSITIVITY/0.940793
in	SPATIALRELATION/0.885710
front	GROUNDING/0.841254
of	-/0.768630
the	TARGET/0.449039
filing	SPATIALRELATION/0.622864
cabinet	GROUNDING/0.793544
.	-/0.941473
Near	TARGET/0.538164
the	SPATIALRELATION/0.633850
study	GROUNDING/0.783597
.	-/0.992627
Deckard	TARGET/0.931617
is	POSITIVITY/0.945043
near	SPATIALRELATION/0.615860
the	MODIFIER/0.279882
fern	GROUNDING/0.717021
.	-/0.991263
someone	TARGET/0.980720
is	POSITIVITY/0.925471
by	SPATIALRELATION/0.486307
the	GROUNDING/0.427276
filing	SPATIALRELATION/0.464452
cabinet	GROUNDING/0.685317
.	-/0.968963
blue	TARGET/0.910403
in	SPATIALRELATION/0.963568
kitchen	GROUNDING/0.978604
.	-/0.987669
The	-/0.877851
robots	TARGET/0.897999
are	POSITIVITY/0.779227
in	TARGET/0.248259
the	SPATIALRELATION/0.381540
kitchen	GROUNDING/0.486695
.	-/0.699944
.	-/0.932725
Theres	POSITIVITY/0.314980
a	TARGET/0.280445
robber	-/0.281973
!	TARGET/0.285803
!	SPATIALRELATION/0.565791
!	GROUNDING/0.745116
.	-/0.971373
blue	TARGET/0.900641
in	SPATIALRELATION/0.951451
front	GROUNDING/0.956217
.	-/0.976577
blue	-/0.338146
one	TARGET/0.316390
.	-/0.905942
there	TARGET/0.381177
are	POSITIVITY/0.590897
two	TARGET/0.270680
people	POSITIVITY/0.164644
running	TARGET/0.330490
in	POSITIVITY/0.126340
the	SPATIALRELATION/0.456910
hallway	GROUNDING/0.647738
.	-/0.987539
zhora	TARGET/0.898616
is	POSITIVITY/0.852757
to	SPATIALRELATION/0.375796
the	GROUNDING/0.321445
left	-/0.296479
of	-/0.382528
the	TARGET/0.323346
filing	SPATIALRELATION/0.621623
cabinet	GROUNDING/0.829091
.	-/0.952782
The	-/0.932170
robber	TARGET/0.931502
is	POSITIVITY/0.877172
hiding	SPATIALRELATION/0.477303
behind	GROUNDING/0.375256
the	SPATIALRELATION/0.466671
plant	GROUNDING/0.693969
.	-/0.988120
Zhora	TARGET/0.911165
is	POSITIVITY/0.880702
right	TARGET/0.317504
in	SPATIALRELATION/0.314731
front	GROUNDING/0.342532
of	SPATIALRELATION/0.643682
you	GROUNDING/0.842787
.	-/0.957721
I	-/0.441825
know	-/0.487209
pris	TARGET/0.864941
is	POSITIVITY/0.885966
near	SPATIALRELATION/0.626395
the	MODIFIER/0.283451
fridge	GROUNDING/0.718231
.	-/0.939966
The	-/0.940557
robber	TARGET/0.962592
is	POSITIVITY/0.929526
in	SPATIALRELATION/0.695204
the	GROUNDING/0.449037
kitchen	-/0.347380
.	-/0.945832
Pris	-/0.332664
just	TARGET/0.211339
passed	-/0.284796
the	TARGET/0.256513
filing	SPATIALRELATION/0.578596
cabinet	GROUNDING/0.779241
.	-/0.941633
In	TARGET/0.525801
the	SPATIALRELATION/0.648479
hallway	GROUNDING/0.811710
.	-/0.992264
roy	TARGET/0.977442
is	POSITIVITY/0.984844
in	SPATIALRELATION/0.745299
behind	SPATIALRELATION/0.584534
you	GROUNDING/0.816299
.	-/0.961921
i	TARGET/0.520334
see	POSITIVITY/0.298476
the	TARGET/0.267115
white	SPATIALRELATION/0.518745
robot	GROUNDING/0.699441
.	-/0.902704
Nobody	SPATIALRELATION/0.383471
there	GROUNDING/0.538683
.	-/0.770554
.	-/0.819917
.	-/0.828347
I	TARGET/0.463094
think	POSITIVITY/0.349223
someone	TARGET/0.941117
is	POSITIVITY/0.886340
in	SPATIALRELATION/0.593788
the	GROUNDING/0.395100
hallway	-/0.298532
.	-/0.886093
just	-/0.570099
went	TARGET/0.326371
to	POSITIVITY/0.189253
the	SPATIALRELATION/0.554797
library	GROUNDING/0.746217
.	-/0.938282
A	-/0.930216
robber	TARGET/0.934002
is	POSITIVITY/0.881904
going	ACTION/0.655900
into	MODIFIER/0.573804
the	SPATIALRELATION/0.526116
study	GROUNDING/0.737533
.	-/0.925010
In	-/0.415174
the	TARGET/0.319561
billiard	SPATIALRELATION/0.662545
room	GROUNDING/0.843167
.	-/0.993454
someone	TARGET/0.980949
is	POSITIVITY/0.920579
by	SPATIALRELATION/0.460774
the	GROUNDING/0.391506
filing	-/0.266866
cabinet	SPATIALRELATION/0.574708
4	GROUNDING/0.784350
.	-/0.967988
robot	TARGET/0.819308
in	POSITIVITY/0.320132
the	SPATIALRELATION/0.492675
study	GROUNDING/0.623492
.	-/0.854039
CHECK	SPATIALRELATION/0.360713
THE	GROUNDING/0.507758
.	-/0.884629
One	-/0.888156
robber	TARGET/0.906425
is	POSITIVITY/0.845702
going	ACTION/0.649995
into	MODIFIER/0.570113
the	SPATIALRELATION/0.513997
library	GROUNDING/0.716658
.	-/0.924646
No	POSITIVITY/0.437611
robots	TARGET/0.707584
in	POSITIVITY/0.188267
the	SPATIALRELATION/0.449463
study	GROUNDING/0.626776
.	-/0.932985
three	TARGET/0.731542
in	POSITIVITY/0.284823
the	SPATIALRELATION/0.486986
hallway	GROUNDING/0.645445
.	-/0.923462
Right	TARGET/0.662234
in	SPATIALRELATION/0.431241
front	GROUNDING/0.367919
of	SPATIALRELATION/0.663101
you	GROUNDING/0.874692
.	-/0.995507
Roy	TARGET/0.949872
is	POSITIVITY/0.542734
behind	SPATIALRELATION/0.955636
you	GROUNDING/0.975820
.	-/0.976118
no	-/0.847207
one	TARGET/0.936492
is	POSITIVITY/0.897665
in	SPATIALRELATION/0.688381
the	GROUNDING/0.433711
hallway	-/0.311576
.	-/0.901445
Two	-/0.447367
robots	TARGET/0.398389
at	SPATIALRELATION/0.158919
the	GROUNDING/0.183307
end	-/0.273446
of	TARGET/0.238820
the	SPATIALRELATION/0.548510
hallway	GROUNDING/0.721397
.	-/0.922405
no	-/0.896728
one	TARGET/0.927026
is	POSITIVITY/0.897690
near	SPATIALRELATION/0.639127
the	MODIFIER/0.265022
tripods	GROUNDING/0.644040
.	-/0.920436
I	-/0.627011
don't	TARGET/0.368833
see	SPATIALRELATION/0.674596
anything	GROUNDING/0.860808
.	-/0.938961
behind	-/0.467026
the	TARGET/0.344428
checkers	SPATIALRELATION/0.679174
table	GROUNDING/0.854898
.	-/0.956359
The	-/0.940915
robber	TARGET/0.962423
is	POSITIVITY/0.927216
in	SPATIALRELATION/0.668960
the	GROUNDING/0.376179
hall	-/0.236321
.	-/0.990015
someone	TARGET/0.969988
is	POSITIVITY/0.870375
literally	SPATIALRELATION/0.310020
standing	GROUNDING/0.310593
still	-/0.295127
on	-/0.356251
the	TARGET/0.187242
other	SPATIALRELATION/0.131795
side	GROUNDING/0.206945
of	-/0.380290
the	TARGET/0.306547
fern	SPATIALRELATION/0.602474
hallway	GROUNDING/0.803571
.	-/0.955791
someone	TARGET/0.777969
going	ACTION/0.534430
towards	MODIFIER/0.420195
the	SPATIALRELATION/0.554554
library	GROUNDING/0.772578
.	-/0.991555
roy	TARGET/0.971326
is	POSITIVITY/0.976687
near	SPATIALRELATION/0.705742
the	GROUNDING/0.326776
fern	-/0.198536
.	-/0.914981
There's	-/0.369023
someone	TARGET/0.605816
in	SPATIALRELATION/0.537809
front	GROUNDING/0.502753
of	-/0.416570
camera	SPATIALRELATION/0.566137
2	GROUNDING/0.784984
.	-/0.961338
someone	TARGET/0.862391
in	POSITIVITY/0.274098
the	SPATIALRELATION/0.384104
kitched	GROUNDING/0.591326
.	-/0.901180
get	TARGET/0.429941
the	SPATIALRELATION/0.136427
blue	GROUNDING/0.168890
one	-/0.274592
,	TARGET/0.291050
faster	SPATIALRELATION/0.570344
!	GROUNDING/0.756408
.	-/0.931766
i	-/0.427703
see	TARGET/0.346333
all	SPATIALRELATION/0.670505
three	GROUNDING/0.818948
.	-/0.949525
A	-/0.959753
robot	TARGET/0.979492
is	POSITIVITY/0.952441
in	SPATIALRELATION/0.737122
the	GROUNDING/0.474709
study	-/0.364809
.	-/0.989439
Deckard	TARGET/0.893554
is	POSITIVITY/0.858723
following	TARGET/0.298398
a	SPATIALRELATION/0.395395
robot	GROUNDING/0.703088
.	-/0.913357
thats	-/0.362997
the	TARGET/0.273227
blue	SPATIALRELATION/0.137037
one	GROUNDING/0.172707
behind	-/0.329706
the	TARGET/0.254872
file	SPATIALRELATION/0.544799
cabinet	GROUNDING/0.738680
.	-/0.898232

