# 0.000000
Nick	TARGET/0.779218
.	-/0.933950
two	TARGET/0.578558
robots	POSITIVITY/0.353835
in	TARGET/0.234451
the	SPATIALRELATION/0.654533
hallway	GROUNDING/0.727286
.	-/0.904617
i	TARGET/0.372779
see	POSITIVITY/0.226665
all	TARGET/0.403317
three	SPATIALRELATION/0.733208
robots	GROUNDING/0.805809
.	-/0.942830
Near	TARGET/0.517756
the	SPATIALRELATION/0.688367
study	GROUNDING/0.731019
.	-/0.949627
someone	TARGET/0.774380
just	POSITIVITY/0.217458
passed	TARGET/0.207305
to	POSITIVITY/0.243021
the	SPATIALRELATION/0.727264
hallway	GROUNDING/0.794408
.	-/0.936205
A	TARGET/0.659613
red	POSITIVITY/0.616059
robot	TARGET/0.938127
is	POSITIVITY/0.945364
in	SPATIALRELATION/0.903232
front	GROUNDING/0.871317
of	-/0.609787
the	TARGET/0.377802
filing	SPATIALRELATION/0.765446
cabinet	GROUNDING/0.823874
.	-/0.945959
Near	TARGET/0.513948
the	SPATIALRELATION/0.745888
study	GROUNDING/0.817144
.	-/0.974124
Deckard	TARGET/0.954904
is	POSITIVITY/0.925586
near	SPATIALRELATION/0.574844
the	SPATIALRELATION/0.490601
fern	GROUNDING/0.614515
.	-/0.963300
someone	TARGET/0.987821
is	POSITIVITY/0.914233
by	SPATIALRELATION/0.642685
the	GROUNDING/0.588559
filing	SPATIALRELATION/0.616426
cabinet	GROUNDING/0.726703
.	-/0.966190
blue	TARGET/0.875586
in	SPATIALRELATION/0.958966
kitchen	GROUNDING/0.959685
.	-/0.973964
The	POSITIVITY/0.348458
robots	TARGET/0.504447
are	POSITIVITY/0.454308
in	TARGET/0.255352
the	SPATIALRELATION/0.487662
kitchen	GROUNDING/0.465586
.	-/0.631805
.	-/0.585993
Theres	TARGET/0.451694
a	POSITIVITY/0.257269
robber	TARGET/0.214137
!	POSITIVITY/0.242967
!	SPATIALRELATION/0.719904
!	GROUNDING/0.782886
.	-/0.968605
blue	TARGET/0.857225
in	SPATIALRELATION/0.948096
front	GROUNDING/0.942519
.	-/0.969097
blue	SPATIALRELATION/0.315175
one	GROUNDING/0.436661
.	-/0.874987
there	TARGET/0.554108
are	POSITIVITY/0.379901
two	TARGET/0.287006
people	POSITIVITY/0.224312
running	TARGET/0.329081
in	POSITIVITY/0.238844
the	SPATIALRELATION/0.684310
hallway	GROUNDING/0.763090
.	-/0.966843
zhora	TARGET/0.936971
is	POSITIVITY/0.872232
to	SPATIALRELATION/0.618816
the	GROUNDING/0.580709
left	-/0.335510
of	TARGET/0.259492
the	POSITIVITY/0.269144
filing	SPATIALRELATION/0.729217
cabinet	GROUNDING/0.788088
.	-/0.913488
The	POSITIVITY/0.635796
robber	TARGET/0.862284
is	POSITIVITY/0.841932
hiding	SPATIALRELATION/0.533864
behind	GROUNDING/0.485022
the	SPATIALRELATION/0.666201
plant	GROUNDING/0.771968
.	-/0.968781
Zhora	TARGET/0.951532
is	POSITIVITY/0.882298
right	SPATIALRELATION/0.469934
in	GROUNDING/0.413768
front	-/0.165382
of	SPATIALRELATION/0.836533
you	GROUNDING/0.917149
.	-/0.968385
I	TARGET/0.710473
know	POSITIVITY/0.536759
pris	TARGET/0.881792
is	POSITIVITY/0.895224
near	SPATIALRELATION/0.577308
the	SPATIALRELATION/0.505078
fridge	GROUNDING/0.641640
.	-/0.863739
The	POSITIVITY/0.645773
robber	TARGET/0.908634
is	POSITIVITY/0.900646
in	SPATIALRELATION/0.683813
the	SPATIALRELATION/0.424928
kitchen	GROUNDING/0.597252
.	-/0.892699
Pris	TARGET/0.523750
just	POSITIVITY/0.279349
passed	TARGET/0.210600
the	POSITIVITY/0.245486
filing	SPATIALRELATION/0.739471
cabinet	GROUNDING/0.814207
.	-/0.947990
In	TARGET/0.496988
the	SPATIALRELATION/0.755424
hallway	GROUNDING/0.838827
.	-/0.978823
roy	TARGET/0.980431
is	POSITIVITY/0.962112
in	TARGET/0.342803
behind	SPATIALRELATION/0.777656
you	GROUNDING/0.894758
.	-/0.959852
i	TARGET/0.470028
see	POSITIVITY/0.266043
the	TARGET/0.413195
white	SPATIALRELATION/0.653691
robot	GROUNDING/0.713816
.	-/0.885776
Nobody	SPATIALRELATION/0.314723
there	GROUNDING/0.362739
.	-/0.583650
.	TARGET/0.259714
.	-/0.508763
I	TARGET/0.715048
think	POSITIVITY/0.509678
someone	TARGET/0.928159
is	POSITIVITY/0.881552
in	SPATIALRELATION/0.666334
the	SPATIALRELATION/0.403753
hallway	GROUNDING/0.563534
.	-/0.846569
just	POSITIVITY/0.258629
went	TARGET/0.241176
to	POSITIVITY/0.251691
the	SPATIALRELATION/0.724554
library	GROUNDING/0.785781
.	-/0.913321
A	POSITIVITY/0.632784
robber	TARGET/0.852889
is	POSITIVITY/0.817974
going	SPATIALRELATION/0.555473
into	GROUNDING/0.502679
the	SPATIALRELATION/0.671821
study	GROUNDING/0.779155
.	-/0.934495
In	TARGET/0.438129
the	POSITIVITY/0.334463
billiard	SPATIALRELATION/0.716649
room	GROUNDING/0.752252
.	-/0.975244
someone	TARGET/0.988138
is	POSITIVITY/0.912898
by	SPATIALRELATION/0.651629
the	GROUNDING/0.600238
filing	-/0.285377
cabinet	SPATIALRELATION/0.719071
4	GROUNDING/0.807143
.	-/0.951412
robot	TARGET/0.802088
in	POSITIVITY/0.436251
the	SPATIALRELATION/0.693519
study	GROUNDING/0.734925
.	-/0.863684
CHECK	SPATIALRELATION/0.436394
THE	GROUNDING/0.540897
.	-/0.871803
One	POSITIVITY/0.622742
robber	TARGET/0.853385
is	POSITIVITY/0.818494
going	SPATIALRELATION/0.557186
into	GROUNDING/0.505128
the	SPATIALRELATION/0.658409
library	GROUNDING/0.758393
.	-/0.925893
No	POSITIVITY/0.304145
robots	TARGET/0.346906
in	POSITIVITY/0.231360
the	SPATIALRELATION/0.675739
study	GROUNDING/0.753503
.	-/0.941007
three	TARGET/0.703482
in	POSITIVITY/0.387070
the	SPATIALRELATION/0.708015
hallway	GROUNDING/0.766385
.	-/0.934565
Right	TARGET/0.601570
in	SPATIALRELATION/0.347869
front	GROUNDING/0.304512
of	SPATIALRELATION/0.852120
you	GROUNDING/0.939354
.	-/0.989256
Roy	TARGET/0.975244
is	POSITIVITY/0.948781
behind	SPATIALRELATION/0.989645
you	GROUNDING/0.989928
.	-/0.970839
no	POSITIVITY/0.624950
one	TARGET/0.905161
is	POSITIVITY/0.895528
in	SPATIALRELATION/0.699160
the	SPATIALRELATION/0.392050
hallway	GROUNDING/0.557321
.	-/0.860467
Two	TARGET/0.434569
robots	POSITIVITY/0.250069
at	SPATIALRELATION/0.182753
the	GROUNDING/0.201110
end	-/0.208580
of	TARGET/0.272397
the	SPATIALRELATION/0.726570
hallway	GROUNDING/0.786412
.	-/0.912619
no	POSITIVITY/0.651887
one	TARGET/0.916061
is	POSITIVITY/0.901582
near	SPATIALRELATION/0.573349
the	SPATIALRELATION/0.512155
tripods	GROUNDING/0.653051
.	-/0.882943
I	TARGET/0.463737
don't	POSITIVITY/0.383859
see	SPATIALRELATION/0.366034
anything	GROUNDING/0.375343
.	-/0.931014
behind	TARGET/0.481889
the	POSITIVITY/0.364515
checkers	SPATIALRELATION/0.756313
table	GROUNDING/0.802673
.	-/0.916015
The	POSITIVITY/0.649493
robber	TARGET/0.907187
is	POSITIVITY/0.899192
in	SPATIALRELATION/0.695209
the	SPATIALRELATION/0.375246
hall	GROUNDING/0.522361
.	-/0.954051
someone	TARGET/0.976033
is	POSITIVITY/0.854234
literally	SPATIALRELATION/0.572283
standing	GROUNDING/0.547531
still	-/0.310554
on	TARGET/0.219412
the	SPATIALRELATION/0.181159
other	GROUNDING/0.197664
side	-/0.181574
of	TARGET/0.212917
the	POSITIVITY/0.242858
fern	SPATIALRELATION/0.684804
hallway	GROUNDING/0.726060
.	-/0.943406
someone	TARGET/0.706379
going	POSITIVITY/0.235425
towards	TARGET/0.300175
the	SPATIALRELATION/0.746115
library	GROUNDING/0.831431
.	-/0.978001
roy	TARGET/0.977502
is	POSITIVITY/0.960803
near	SPATIALRELATION/0.622004
the	SPATIALRELATION/0.494007
fern	GROUNDING/0.636034
.	-/0.856872
There's	POSITIVITY/0.496282
someone	TARGET/0.614404
in	SPATIALRELATION/0.477486
front	GROUNDING/0.456626
of	-/0.296085
camera	SPATIALRELATION/0.661254
2	GROUNDING/0.715754
.	-/0.956048
someone	TARGET/0.816574
in	POSITIVITY/0.365228
the	SPATIALRELATION/0.666287
kitched	GROUNDING/0.739469
.	-/0.914528
get	TARGET/0.510441
the	POSITIVITY/0.278122
blue	TARGET/0.287810
one	POSITIVITY/0.154119
,	TARGET/0.260571
faster	SPATIALRELATION/0.716229
!	GROUNDING/0.783492
.	-/0.921476
i	TARGET/0.381250
see	POSITIVITY/0.283946
all	SPATIALRELATION/0.743183
three	GROUNDING/0.789900
.	-/0.923913
A	POSITIVITY/0.769821
robot	TARGET/0.958114
is	POSITIVITY/0.936134
in	SPATIALRELATION/0.709063
the	SPATIALRELATION/0.410477
study	GROUNDING/0.596308
.	-/0.946073
Deckard	TARGET/0.925453
is	POSITIVITY/0.841429
following	TARGET/0.269911
a	SPATIALRELATION/0.558857
robot	GROUNDING/0.673217
.	-/0.903422
thats	TARGET/0.491329
the	POSITIVITY/0.272504
blue	TARGET/0.287497
one	POSITIVITY/0.174668
behind	TARGET/0.189044
the	POSITIVITY/0.233176
file	SPATIALRELATION/0.713688
cabinet	GROUNDING/0.785552
.	-/0.912112

